policy,path_id,implementation_shortfall_bps,completion_error,max_constraint_violation
twap,530,1.6888842073674426,0.0,0.0
twap,531,-16.279477107203533,0.0,0.0
twap,532,23.03786771330092,0.0,0.0
twap,533,8.714759159154351,0.0,0.0
twap,534,-7.121964339133276,0.0,0.0
twap,535,4.407054037415521,0.0,0.0
twap,536,0.13071512361402565,0.0,0.0
twap,537,-19.374035839316274,0.0,0.0
twap,538,-1.752346617416342,0.0,0.0
twap,539,-9.124581673299183,0.0,0.0
twap,540,-5.783312354474098,0.0,0.0
twap,541,12.354020652163904,0.0,0.0
twap,542,-20.79156147566946,0.0,0.0
twap,543,9.20035797195292,0.0,0.0
twap,544,15.562316447490366,0.0,0.0
twap,545,4.64370870915022,0.0,0.0
twap,546,2.6861906775490483,0.0,0.0
twap,547,-13.353474186930088,0.0,0.0
twap,548,-0.15917485517766305,0.0,0.0
twap,549,1.540181393063633,0.0,0.0
twap,550,17.98613249640373,0.0,0.0
twap,551,-3.4827611976113215,0.0,0.0
twap,552,-5.422404534176669,0.0,0.0
twap,553,10.625158290993117,0.0,0.0
twap,554,-18.336987983793616,0.0,0.0
twap,555,11.346649772748034,0.0,0.0
twap,556,-7.27077915684892,0.0,0.0
twap,557,22.53939771656018,0.0,0.0
twap,558,0.8763196196288667,0.0,0.0
twap,559,-32.511276295326546,0.0,0.0
