path_id,t,posterior_stress,regime_true,predicted_stress
923,11,0.0017921687362507622,0,0
923,12,0.00421438773404218,0,0
923,13,0.0011978654258715511,0,0
924,1,0.39766826386983006,1,0
924,2,0.8305600426760474,1,1
924,3,0.9916394237653986,1,1
924,4,0.943793807670116,1,1
924,5,0.9995041743653197,1,1
924,6,0.9948312088733741,1,1
924,7,0.9324035686084993,1,1
924,8,0.9985072363271587,1,1
924,9,0.9996229203301115,1,1
924,10,0.7481522223201293,1,1
924,11,0.9974028456185798,1,1
924,12,0.9998915714267109,1,1
924,13,0.9992867926844369,1,1
925,1,0.9982415428154465,1,1
925,2,0.7491768975897934,0,1
925,3,0.08248728334282086,0,0
925,4,0.015560424352645447,0,0
925,5,0.0034878547901786854,0,0
925,6,0.01167214065920315,0,0
925,7,0.0011460854663347866,0,0
925,8,0.01437332047307016,0,0
925,9,0.008490494813446133,0,0
925,10,0.0015078255105636484,0,0
925,11,0.9569767912125833,1,1
925,12,0.7635711017755098,1,1
925,13,0.7259165083978857,1,1
926,1,0.20627849994344724,0,0
926,2,0.007902582580687783,0,0
926,3,0.0022752259944368676,0,0
926,4,0.017070395133631743,0,0
926,5,0.4231254386078634,0,0
926,6,0.23937104620714708,0,0
926,7,0.7102664765352132,0,1
926,8,0.017380065796804456,0,0
926,9,0.005740725201484833,0,0
926,10,0.01309941565258578,0,0
926,11,0.01088877151635803,0,0
926,12,0.01861169673374911,0,0
926,13,0.002548322393582567,0,0
927,1,0.03264713858876332,0,0
927,2,0.0009899737044027175,0,0
927,3,0.0050581056372425905,0,0
927,4,0.010663012424654318,0,0
927,5,0.00246399633592804,0,0
927,6,0.0660276930897852,0,0
927,7,0.0088365220200601,0,0
927,8,0.008329397633883334,0,0
927,9,0.0070040665238387135,0,0
927,10,0.002879327294957026,0,0
927,11,0.012708765190086527,0,0
927,12,0.014310468309601919,0,0
927,13,0.01152254149930341,0,0
928,1,0.9999995816247371,1,1
928,2,0.8807887583704089,1,1
928,3,0.9998881582281458,1,1
928,4,0.9671901048277097,1,1
928,5,0.1354774285186607,0,0
928,6,0.003938696966250041,0,0
928,7,0.0006647240096179297,0,0
928,8,0.0020291596193853447,0,0
928,9,0.00040470463250874523,0,0
928,10,0.0017059498864587005,0,0
928,11,0.06598372909913913,0,0
928,12,0.04237966198543229,0,0
928,13,0.00395483226488036,0,0
929,1,0.05233628448475003,0,0
929,2,0.0017753274688354942,0,0
929,3,0.01883941982696309,0,0
929,4,0.06565794525538932,0,0
929,5,0.04223816398292474,0,0
929,6,0.0007641416036765561,0,0
929,7,0.05052616928616305,0,0
929,8,0.002308251152555485,0,0
929,9,0.015507546316418933,0,0
929,10,0.04066587444276838,0,0
929,11,0.04777206797014555,0,0
929,12,0.013536937932622083,0,0
929,13,0.00045585998305784864,0,0
930,1,0.40131063746083945,0,0
930,2,0.014140119027838632,0,0
930,3,0.001143559328252963,0,0
930,4,0.06837537396902083,0,0
930,5,0.013242168122137314,0,0
930,6,0.0040145755576302105,0,0
930,7,0.9927122027777979,1,1
930,8,0.600204645855428,1,1
930,9,0.4150108327030151,1,0
930,10,0.992388188818346,1,1
930,11,0.9999986948827692,1,1
930,12,0.9999796498515887,1,1
930,13,0.9998570488078938,1,1
931,1,0.9972873573804324,1,1
931,2,0.9978818081768169,1,1
931,3,0.9999078630665198,1,1
931,4,0.03333524848352393,0,0
931,5,0.006441349032258154,0,0
931,6,0.2745234743777769,0,0
931,7,0.03156538382941885,0,0
931,8,0.013251470025126506,0,0
931,9,0.016036125887283436,0,0
931,10,0.011130452514540878,0,0
931,11,0.0064322037287034275,0,0
931,12,0.04949909972984404,0,0
931,13,0.00707027440007683,0,0
932,1,0.01724506038468114,0,0
932,2,0.00451728373728296,0,0
932,3,0.008436835179144118,0,0
932,4,0.015109800871856155,0,0
932,5,0.28964334876816233,0,0
932,6,0.014451593964927331,0,0
932,7,0.002500453123573299,0,0
932,8,0.003580050297751206,0,0
932,9,0.014656617262207043,0,0
932,10,0.003686806604881736,0,0
932,11,0.012454577890263833,0,0
932,12,0.006341609872157764,0,0
932,13,0.001486331842192951,0,0
933,1,0.03882546843577498,0,0
933,2,0.036300660361715115,0,0
933,3,0.004659536518356821,0,0
933,4,0.037783153755192034,0,0
933,5,0.027677170272661554,0,0
933,6,0.0017108680399703165,0,0
933,7,0.004085072628648616,0,0
933,8,0.0005471068254088653,0,0
933,9,0.00792387861971023,0,0
933,10,0.005607495311853389,0,0
933,11,0.05677629620308533,1,0
933,12,0.9027921990630986,1,1
933,13,0.990874960871108,1,1
934,1,0.15557006770163126,0,0
934,2,0.5716637062234317,0,1
934,3,0.05831616014620261,0,0
934,4,0.0338134712745921,0,0
934,5,0.0019065064163066117,0,0
934,6,0.03697272163743022,0,0
934,7,0.055362304617421816,0,0
934,8,0.048200260669394285,0,0
934,9,0.006918686145764483,0,0
934,10,0.009378270972203668,0,0
934,11,0.0021575858992417965,0,0
934,12,0.003323793452990589,0,0
934,13,0.007743918428800948,0,0
935,1,0.0420524617748593,0,0
